"","X","business_id","name","address","city","state","postal_code","latitude","longitude","stars","review_count","is_open","attributes","categories","hours","index","v1","v2","v3","v4","v5","v6","v7","v8","postext","negtext","pa","oh","il"
"2",342,"JhxI7oS_jsFnq34dDubugQ","Ferris Steak House","8700 Detroit Ave","Cleveland","OH",44102,41.4806039,-81.7444484,3.5,8,0,"{'RestaurantsReservations': 'True', 'RestaurantsAttire': ""u'casual'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '3', 'Alcohol': ""u'full_bar'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'OutdoorSeating': 'True'}","Steakhouses, Restaurants","{'Monday': '17:0-22:0', 'Tuesday': '17:0-22:0', 'Wednesday': '17:0-22:0', 'Thursday': '17:0-22:0', 'Friday': '17:0-22:0', 'Saturday': '17:0-22:0'}",8746,0.0924862099469148,0,0.204887775025608,0.258181570583033,0.145785600426709,0.165395262228675,0.103152680864068,0.0301109009249934,5,4,0,1,0
"3",741,"lpxj6LFir23Ds6swW8a6fg","Grandview Saloon","1212 Grandview Ave","Pittsburgh","PA",15211,40.4381076,-80.0185368,3,172,1,"{'Alcohol': ""u'full_bar'"", 'WiFi': ""'free'"", 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsReservations': 'True', 'NoiseLevel': ""u'average'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': True, 'trendy': False, 'upscale': False, 'casual': False}"", 'RestaurantsAttire': ""u'casual'"", 'GoodForKids': 'True', 'BusinessAcceptsCreditCards': 'True', 'HappyHour': 'True', 'HasTV': 'True', 'RestaurantsDelivery': 'False', 'OutdoorSeating': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}"", 'RestaurantsTakeOut': 'True', 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': True}""}","Restaurants, Steakhouses, Seafood, American (Traditional), Wine Bars, Caterers, Lounges, Event Planning & Services, Nightlife, Bars","{'Monday': '11:30-21:0', 'Tuesday': '11:30-21:0', 'Wednesday': '11:30-21:0', 'Thursday': '11:30-21:0', 'Friday': '11:30-22:0', 'Saturday': '11:30-22:0', 'Sunday': '11:30-21:0'}",22470,0.159292499453022,0.0361434086352913,0.172074526815905,0.0763097898148821,0.270268441574389,0.0528397854770791,0.149033012313295,0.0840385359161368,79,99,1,0,0
"4",931,"FZmvSCnBcVXiX08lmGhakA","DeBlaze Grill","500 Washington Ave","Bridgeville","PA",15017,40.3584643919,-80.1125019681,4.5,47,1,"{'RestaurantsAttire': ""u'casual'"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'RestaurantsDelivery': 'True', 'GoodForKids': 'True', 'RestaurantsTakeOut': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'Alcohol': ""u'full_bar'"", 'HasTV': 'True', 'HappyHour': 'True', 'BusinessAcceptsCreditCards': 'True', 'DogsAllowed': 'False', 'Caters': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '2', 'OutdoorSeating': 'False'}","Steakhouses, Italian, American (Traditional), Restaurants","{'Monday': '0:0-0:0', 'Tuesday': '11:30-22:0', 'Wednesday': '11:30-22:0', 'Thursday': '11:30-22:0', 'Friday': '11:30-0:0', 'Saturday': '11:30-0:0'}",5432,0.243330881633921,0.0683042848238384,0.263805383363592,0.254346684221201,0.0292872407454046,0.0329119346162935,0.0295360821459598,0.0784775084497889,39,8,1,0,0
"5",1305,"2vzUzl31fFLHKhM6px-rbg","Mariner's Inn","5339 Lighthouse Bay Dr","Madison","WI",53704,43.1489218,-89.4070057,3.5,79,1,"{'WiFi': ""u'free'"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsReservations': 'True', 'Alcohol': ""'full_bar'"", 'RestaurantsPriceRange2': '3', 'HasTV': 'True', 'WheelchairAccessible': 'True', 'BusinessAcceptsCreditCards': 'True', 'OutdoorSeating': 'True', 'BikeParking': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'Caters': 'True', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsDelivery': 'False', 'RestaurantsTakeOut': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'NoiseLevel': ""u'quiet'"", 'GoodForKids': 'False', 'HappyHour': 'True', 'RestaurantsTableService': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'BYOB': 'False'}","Breakfast & Brunch, Event Planning & Services, American (Traditional), Steakhouses, Venues & Event Spaces, Restaurants, Seafood","{'Monday': '0:0-0:0', 'Tuesday': '17:0-21:0', 'Wednesday': '17:0-21:0', 'Thursday': '17:0-21:0', 'Friday': '16:30-22:0', 'Saturday': '16:30-22:0', 'Sunday': '16:30-21:0'}",644,0.0799320246648466,0.0530385204971112,0.181760007732007,0.191442286612208,0.173608068308658,0.0940081147245152,0.110900136239781,0.115310841220873,41,40,0,0,0
"6",1386,"J4fxdRNWmqckOHTPJocWEw","ML Tavern","34105 Chagrin Blvd","Moreland Hills","OH",44022,41.4547126,-81.4437063,4,71,1,"{'Alcohol': ""'full_bar'"", 'HasTV': 'True', 'RestaurantsGoodForGroups': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTableService': 'True', 'RestaurantsAttire': ""'dressy'"", 'BikeParking': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': True}"", 'RestaurantsTakeOut': 'True', 'NoiseLevel': ""'average'"", 'RestaurantsPriceRange2': '3', 'RestaurantsDelivery': 'False', 'HappyHour': 'True', 'GoodForKids': 'False', 'OutdoorSeating': 'True', 'WiFi': ""'free'"", 'RestaurantsReservations': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}""}","Steakhouses, Beer, Wine & Spirits, Food, Nightlife, Restaurants, Bars","{'Monday': '0:0-0:0', 'Tuesday': '16:0-0:0', 'Wednesday': '16:30-21:30', 'Thursday': '16:30-21:30', 'Friday': '16:30-22:0', 'Saturday': '16:30-22:0'}",6146,0.16564224070784,0.0124456752907559,0.276592059635539,0.261369407081915,0.110087722876409,0.0420368628889974,0.0861128435268957,0.0457131879916485,58,23,0,1,0
"7",1446,"qELIf4gzE_vlteu7pO7TZg","Atria's Restaurant","103 Federal St","Pittsburgh","PA",15212,40.4470921252,-80.004046381,3,94,0,"{'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': True}"", 'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'True', 'NoiseLevel': ""u'average'"", 'RestaurantsDelivery': 'False', 'RestaurantsTakeOut': 'True', 'RestaurantsGoodForGroups': 'True', 'Alcohol': ""u'full_bar'"", 'RestaurantsAttire': ""u'casual'"", 'Caters': 'True', 'RestaurantsPriceRange2': '2', 'OutdoorSeating': 'True', 'HasTV': 'True', 'WiFi': ""u'free'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'DriveThru': 'False', 'RestaurantsReservations': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}""}","Caterers, American (New), Nightlife, Restaurants, Bars, Sandwiches, Seafood, Italian, Event Planning & Services, American (Traditional), Salad, Steakhouses, Burgers","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '10:0-20:0'}",24236,0.141594858374877,0.0335386731472498,0.166418794489299,0.0646976739885747,0.201344959588963,0.0203147180847255,0.153465081568556,0.218625240757756,39,57,1,0,0
"8",1450,"Es0JayHVN_XPn1q5yFtn6g","Pittsburgh Rare","300 W Station Sq Dr","Pittsburgh","PA",15219,40.4346901,-80.006389,2.5,9,0,"{'RestaurantsReservations': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsAttire': ""u'dressy'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '3', 'OutdoorSeating': 'False', 'GoodForKids': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery': 'False', 'WiFi': ""u'paid'"", 'Alcohol': ""'full_bar'"", 'HappyHour': 'True'}","Steakhouses, Restaurants","",5407,0.0919163165627789,0,0.0175883802415452,0.112717525417898,0.221923049548743,0.270488335807184,0.186725879670857,0.0986405127509934,2,7,1,0,0
"9",1611,"szGbmw_vq3kVU4SfK1x6Sw","Ruths Chris Steak House","6 PPG Pl","Pittsburgh","PA",15222,40.439454,-80.003658,4,146,1,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': True, 'lot': False, 'valet': False}"", 'RestaurantsReservations': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsAttire': ""u'dressy'"", 'NoiseLevel': ""u'average'"", 'OutdoorSeating': 'False', 'RestaurantsPriceRange2': '4', 'RestaurantsTakeOut': 'True', 'Alcohol': ""u'full_bar'"", 'Caters': 'False', 'RestaurantsGoodForGroups': 'True', 'WiFi': ""u'free'"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': True, 'classy': True, 'casual': False}"", 'RestaurantsTableService': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'BikeParking': 'False', 'HasTV': 'True', 'RestaurantsDelivery': 'False', 'GoodForKids': 'False', 'WheelchairAccessible': 'True', 'HappyHour': 'True', 'DogsAllowed': 'False', 'BusinessAcceptsBitcoin': 'False'}","Restaurants, Steakhouses","{'Monday': '17:0-22:0', 'Tuesday': '17:0-22:0', 'Wednesday': '17:0-22:0', 'Thursday': '17:0-22:0', 'Friday': '17:0-23:0', 'Saturday': '17:0-23:0', 'Sunday': '17:0-21:0'}",25034,0.116737659559336,0.0174765514820574,0.208071011631438,0.369124173300323,0.0771279496844604,0.115050782299994,0.0500169188600113,0.0463949531823802,106,43,1,0,0
"10",1746,"CNklj3fFmwXL13AyvjfV5w","Ann's Chophouse","2783 S Park Rd","Bethel Park","PA",15102,40.327443,-80.034616,3.5,35,1,"{'Caters': 'False', 'WiFi': ""u'no'"", 'HasTV': 'True', 'NoiseLevel': ""u'average'"", 'RestaurantsReservations': 'True', 'BusinessAcceptsCreditCards': 'True', 'OutdoorSeating': 'False', 'RestaurantsAttire': ""u'casual'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'RestaurantsDelivery': 'False', 'Alcohol': ""u'full_bar'"", 'GoodForKids': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsGoodForGroups': 'True', 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsTakeOut': 'True'}","Steakhouses, Restaurants","{'Monday': '11:0-2:0', 'Tuesday': '11:0-2:0', 'Wednesday': '11:0-2:0', 'Thursday': '11:0-2:0', 'Friday': '11:0-2:0', 'Saturday': '11:0-2:0', 'Sunday': '11:0-2:0'}",4515,0.156341108790699,0.0166255493492758,0.203788438445627,0.190812470981967,0.185069186552151,0.0532821166512665,0.109847992077717,0.0842331371512976,21,16,1,0,0
"11",1760,"d6VYQbeTZ_WdD8Uuhh35dg","Tempest Oyster Bar","120 E Wilson St","Madison","WI",53703,43.0739300186,-89.3796241524,4,280,1,"{'RestaurantsTakeOut': 'False', 'WiFi': ""u'no'"", 'Caters': 'False', 'RestaurantsDelivery': 'False', 'RestaurantsReservations': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': True, 'trendy': False, 'upscale': False, 'casual': False}"", 'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'False', 'RestaurantsAttire': ""u'dressy'"", 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'OutdoorSeating': 'True', 'RestaurantsPriceRange2': '3', 'Alcohol': ""u'full_bar'"", 'BikeParking': 'True', 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': True, 'sunday': False, 'saturday': True}"", 'RestaurantsGoodForGroups': 'True', 'NoiseLevel': ""u'average'"", 'RestaurantsTableService': 'True', 'GoodForDancing': 'False', 'HasTV': 'True', 'HappyHour': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': None, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'Smoking': ""u'no'"", 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}"", 'CoatCheck': 'True'}","Steakhouses, Restaurants, Bars, Seafood, Nightlife","{'Monday': '16:0-22:0', 'Tuesday': '16:0-22:0', 'Wednesday': '16:0-22:0', 'Thursday': '16:0-22:0', 'Friday': '16:0-0:0', 'Saturday': '16:0-0:0', 'Sunday': '16:0-22:0'}",18874,0.286967756853033,0.0570646237620746,0.220794266294465,0.19823955518102,0.103160684089203,0.0177290931421341,0.0663129929833492,0.0497310276947213,219,68,0,0,0
