,business_id,name,city,state,stars_y,0,1,2,3,text
0,-RQCdTsH5rkG702auLcEqA,Hoss's Steak & Sea House,Murrysville,PA,3.5,0.4226084099336842,0.05979805264029405,0.23296988925287226,0.28462364817314956,20
35,-bHpvkmiFzm_swHLYsGiqw,Ken Stewart's Grille,Akron,OH,4.0,0.30686942255590366,0.05511373249011728,0.3518255439947261,0.2861913009592531,88
152,0YA3RpY5KXcezPXcjdfOGQ,Pittsburgh Steak Company,Pittsburgh,PA,2.0,0.0,0.0,0.23745320969006714,0.7625467903099329,1
158,0gbi6kYiAOnFwfZ_2_dXSA,Hyde Park Prime Steakhouse,Beachwood,OH,4.0,0.23903341393159913,0.057480275435317876,0.2973022198037168,0.40618409082936635,89
273,0grgvnq4GgoY-estWytUhg,Timpone's,Urbana,IL,3.5,0.31894650443048633,0.06854633355643211,0.3441567226917335,0.2683504393213481,61
374,0wUBRqU95D8URo5Ws4r5Qg,Steak ’n Shake,Aurora,OH,2.0,0.28376317916270904,0.14060090340085651,0.2968496670589246,0.2787862503775098,9
421,1HtxtLaFgTeerAuF9Q5jRQ,Lone Star Steakhouse,West Mifflin,PA,3.0,0.1770000815873258,0.09096184426006391,0.342221219895085,0.3898168542575254,11
443,1njD5p7-FvV8uoHzwiVYCA,LongHorn Steakhouse,Mentor,OH,3.5,0.1793186099413793,0.03031109452935091,0.30103538284346726,0.48933491268580254,22
485,1p6qHrapvuKpbZGLT9qskw,El Patio,Champaign,IL,3.5,0.3586049362605701,0.06162453317422721,0.4395512500807719,0.14021928048443086,28
528,2MnNaZcNG_2whC9NyL4qgA,Mulligans Pub and Grill,Avon,OH,3.5,0.4475249382803156,0.0920387024662964,0.36413601625256786,0.09630034300082016,46
614,2U3KaC0sIFeugvSm0c2fJA,LongHorn Steakhouse,Medina,OH,3.5,0.17234141602562902,0.031307469762890366,0.5033206331851741,0.29303048102630663,18
644,2vzUzl31fFLHKhM6px-rbg,Mariner's Inn,Madison,WI,3.5,0.1579144877525019,0.10478341854307327,0.3590868445437206,0.3782152491607042,41
723,2zx0Pt5OeHhjAZoNRqYTog,Fuegos - Steak Tapas Vegan,Madison,WI,3.5,0.33508021513752223,0.07701106932769196,0.3442453400564653,0.24366337547832057,145
943,30ibZa6RLsrdhmCUeoS7tQ,Texas Roadhouse,Pittsburgh,PA,3.5,0.25108257332320977,0.020840739453209158,0.3507276910508978,0.37734899617268336,47
